"Firma";"Website";"Bedarf";"DL Beschreibung";"Geschäftsführung";"Gefundene E-Mails";"GF-Mail (belegt/rekonstruiert)";"Hinweis"
"the peak lab.";"https://www.thepeaklab.ai/";"Ja";"• KI-, Data-Science- und Data-Intelligence-Beratung/Entwicklung (seit 2017)
• KI-Strategie, Infrastruktur und Implementierung
• Custom-KI-Entwicklung: NLP, Anomalieerkennung, Continuous Learning
• Stack: Python, TensorFlow, PyTorch, scikit-learn, AWS/Azure";"Sascha Derschewsky, Jens Laekamp";"hello@thepeaklab.com";"";"Impressum unter thepeaklab.com/impressum (Domain-Redirect). Nur generische Mail, kein Muster."
"ThinkOwl";"https://www.thinkowl.de/";"Ja";"• KI-Automatisierungsplattform für Kundenservice und Prozesse
• OwlForce (autonome KI-Agenten), OwlDesk (KI-Helpdesk), Conversations
• Conversational AI, Intelligent Document Processing, RPA, 80+ Sprachen
• Kunden u.a. Sky, Generali, EnBW";"Rolf Esau";"service@thinkowl.de";"";"Vertreten durch Rolf Esau, Geschaeftsfuehrer. Nur service@, kein Muster."
"Tiplu GmbH";"https://www.tiplu.de/";"Ja";"• KI-Software für Krankenhäuser (strukturierte Gesundheitsdaten)
• MAIA/MAIA Doc: Dokumentation und klinische Entscheidungsunterstützung
• MOMO: Fallabrechnung und Erlössicherung; Tiplu Patientenakte, Analysen
• Kunden u.a. Charité, Heidelberg, SANA; Teil von LOGEX";"Dr. Lukas Aschenberg, Dr. Moritz Augustin";"info@tiplu.de; marketing@tiplu.de; presse@tiplu.de; sales@tiplu.de; jobs@tiplu.de; k.hospach@tiplu.de";"l.aschenberg@tiplu.de (rekonstruiert)";"Muster initial.nachname@ belegt durch k.hospach@tiplu.de -> GF Dr. Lukas Aschenberg rekonstruiert; zweiter GF: m.augustin@tiplu.de (rekonstruiert)."
"TIQ Solutions GmbH";"https://www.tiq-solutions.de/";"Vielleicht";"• Data- und KI-Beratung (Leipzig, seit 2004)
• Datenstrategie, Data Engineering, ETL, Cloud-Data-Warehouses
• BI/Analytics, Machine Learning, generative KI, autonome Agenten
• DACH-Fokus, 500+ Projekte";"Andreas Richter, Joerg Forthmann";"info@tiq-solutions.de";"";"Nur info@, kein Muster."
"tisix.io GmbH";"https://www.tisix.io/";"Vielleicht";"• KI-Beratung und -Lösungen aus Köln
• tisix ai workspace: Open-Source-Plattform für kommerzielle/private KI-Modelle
• KI-Roadmap für Mittelstand, QA für KI-Anwendungen (LLMs, NLP, ML)
• NVIDIA Inception, Fokus Souveränität und Compliance";"Dr.-Ing. Simonas Cerniauskas, Dr.-Ing. Timo Kannengiesser";"info@tisix.io";"";"Nur info@, kein Muster."
"TNG Technology Consulting GmbH";"https://www.tngtech.com/en.html";"Ja";"• IT-Beratung (gegr. 2001) für Großkonzerne und Mittelstand
• Agentic Software Development, DevOps und Cloud
• KI-Schwerpunkt: generative KI, LLMs, Vision Language Models, Computer Vision, RL
• Eigene KI-Produktivitätstools und Industrieanwendungen";"Dr. Robert Dahlke, Thomas Endres, Moritz Prinz";"info@tngtech.com; ombudsperson-tng@scherer-recht.de";"";"Nur generische Mails (ombudsperson ist externe Kanzlei), kein Muster."
"TOSEO (Toelle GmbH)";"https://toseo.app/";"Ja";"• Automatisierte Auftragsverarbeitung für Produktionsbetriebe
• OCR-basierte Digitalisierung von Kundenaufträgen in Produktionssysteme
• Digitale Mängelerfassung in Echtzeit, kundenspezifische Module
• Pay-per-Use-Modell für Metall-/Fertigungsbranche";"Simon Toelle";"info@toseo.de";"";"Mail Cloudflare-verschluesselt (data-cfemail) -> info@toseo.de dekodiert. Nur generische Mail, kein Muster."
"Tracebloc GmbH";"https://www.tracebloc.io/";"Ja";"• Collaborative-AI-Workspace-Plattform ohne Teilen sensibler Daten
• Federated Training, kollaborative Modellentwicklung und Benchmarking
• Finetuning von Modellen auf proprietären Daten, auditierbare Container
• Deployment auf eigener Infrastruktur (GPUs), PetaFLOP-Pricing";"Lukas Wuttke";"info@tracebloc.io; lukas.wuttke@tracebloc.io";"lukas.wuttke@tracebloc.io";"Mails Cloudflare-verschluesselt; dekodiert. Persoenliche GF-Mail woertlich belegt (data-cfemail)."
"Transline Deutschland";"https://www.transline.de/";"Vielleicht";"• Übersetzung und Lokalisierung in 160 Sprachen
• Technische, SAP- und Marketing-Übersetzungen, Transcreation
• Machine-Translation-Post-Editing und Qualitätssicherung
• Content-Management-Plattformen (TBlue), Desktop-Publishing";"Maximilian Lachnit";"service@transline.de";"";"Nur service@ (info@7bytes.de und info@tmc-solution.de sind Agentur-Credits). Kein Muster."
"treviai";"https://www.treviai.com/";"Vielleicht";"• KI-Beratung und Integration in Geschäftsprozesse
• Automatisierung von Business-Prozessen
• Individuelle KI-Lösungen für Unternehmen
• Produktlinie TREVIA (Gen4+ KI-Agenten)";"";"";"";"Website/Domain nicht erreichbar (HTTP 000, SSL-/Verbindungsfehler)."
"Trevisto AG";"https://www.trevisto.de/";"Vielleicht";"• IT-Beratung für Data Warehousing und Business Intelligence
• KI-Lösungen mit neuronalen Netzen (Forecasting, Predictive Maintenance)
• Cloud-DWH und CSRD-Reporting
• Datengetriebene Prozessoptimierung und Automatisierung";"Vorstand: Jens Horstmann";"info@trevisto.de";"";"Nur funktionale E-Mail im Impressum, kein Muster ableitbar."
"Tucan.ai GmbH";"https://www.tucan.ai/";"Ja";"• KI-Software für Transkription und intelligente Dokumentation
• Automatische Meeting-Protokolle und Zusammenfassungen
• Vertragsanalyse/Due-Diligence, Live-Untertitelung
• DSGVO-konform, Hosting auf deutschen Servern";"Managing Directors: Florian Polak";"info@tucan.ai; team@tucan.ai";"";"Nur funktionale E-Mails, kein persoenliches Muster belegt."
"Tudock GmbH";"https://www.tudock.de/";"Vielleicht";"• Digital-Commerce-Agentur (Adobe Commerce/Magento, Shopify)
• B2B/B2C E-Commerce-Architekturen und Integration
• Such-Technologie und On-Site-Search-Optimierung
• KI-Automatisierung für Content und Produktdaten";"Geschaeftsfuehrer Michael Wolf, Daniel Nill";"info@tudock.de; michael.wolf@tudock.de; marco.koepcke@tudock.de; regine.voigt@tudock.de";"michael.wolf@tudock.de";"michael.wolf@tudock.de woertlich belegt. Muster vorname.nachname@ -> daniel.nill@tudock.de (rekonstruiert)."
"two by ad-artists GmbH";"https://www.we-are-two.ai/";"Vielleicht";"• KI-Assistenzsysteme für Unternehmen mit Datenhoheit
• Support-, Wissens-, IT- und Dokumenten-Assistenten
• On-Premise/Edge oder isolierte Cloud, verschlüsselt
• Dialogbasierte KI-Anwendungen seit 2018";"Geschaeftsfuehrer: Martin Benderoth";"hello@we-are-two.ai";"";"Nur funktionale E-Mail, kein Muster ableitbar."
"UMYNO Solutions GmbH";"https://www.umyno.com/";"Vielleicht";"• KI-Worksuite für die Lebensmittel- und Getränkeindustrie
• Rezeptur-, Projekt- und Produktentwicklungs-Management
• UMYNO AI+ mit TDS-Reader und LMIV-Konformitätsprüfung
• Wissensdatenbank-Chatbot und Workflow-Automatisierung";"Vertretungsberechtigter Geschaeftsfuehrer: Dr. Christian Klein";"info@umyno.com";"";"E-Mail als info(at)umyno.com verschleiert; nur funktional, kein Muster."
"Unatech GmbH";"https://www.unatech.de/";"Vielleicht";"• Entwicklung KI-nativer Produktivitäts-Tools
• Lösungen mit LLMs, RAG und autonomen Task-Workflows
• Cloud-Systeme, APIs und technische Infrastruktur
• Aufbau interner KI-Fähigkeiten für Unternehmen/Öffentliche Hand";"";"contact@unatech.co";"";"Imprint nennt keine Geschaeftsfuehrung; E-Mail rueckwaerts kodiert (oc.hcetanu@tcatnoc -> contact@unatech.co, Domain .co)."
"[understand.ai]";"https://understand.ai/";"Ja";"• Validierung und Simulation autonomer Systeme (Teil der dSPACE-Gruppe)
• Szenario-Engineering und Datenmanagement für autonomes Fahren
• KI-gestützte Datenannotation und -aufbereitung
• Simulation von der Konzeptphase bis zur Serienproduktion";"Managing Director (Geschaeftsfuehrer): Juergen Daunis";"info@understand.ai";"";"Nur funktionale E-Mail, kein Muster ableitbar."
"Unetiq GmbH";"https://unetiq.com/";"Ja";"• Agentur für maßgeschneiderte KI- und Data-Science-Lösungen
• Bildverarbeitung: Klassifizierung und Objekterkennung
• Textanalyse und Informationsextraktion aus Dokumenten
• Predictive Analytics, Forecasting und Anomalieerkennung";"Vertreten durch die Geschaeftsfuehrer: Karens Grigorjancs";"hello@unetiq.com; info@unetiq.com";"";"Nur funktionale E-Mails, kein persoenliches Muster belegt."
"Univere UG (haftungsbeschraenkt)";"https://www.univere.de/";"Vielleicht";"• Individuelle Softwareentwicklung (AI-natives)
• Prozessautomatisierung und Effizienzsteigerung
• IT- und KI-Beratung sowie digitale Transformation
• Modernisierung und Integration von Systemen (APIs/Middleware)";"Vertreten durch: Benedikt Goetemann und Lucas Lenz";"b.goetemann@univere.de; l.lenz@univere.de; hello@univere.de";"b.goetemann@univere.de; l.lenz@univere.de";"Beide GF-Mails woertlich im Impressum belegt (Muster v.nachname@)."
"UXUIX Gmbh";"https://uxuix.de/";"Vielleicht";"• Multi-Agenten-Portal für KI-Automatisierung
• UXUIX Operation System für digitale Mitarbeiter
• Automatisierung von Geschäftsprozessen (z.B. Einkauf/Bestellung)
• Fokus auf den Mittelstand";"Geschaeftsfuehrer Michael Klix";"ask@uxuix.de";"";"Nur funktionale E-Mail, kein Muster ableitbar."
"VAGO Solutions";"https://www.vago-solutions.ai/";"Ja";"• KI-Manufaktur für sichere, maßgeschneiderte KI-Systeme
• Entwicklung eigener Sprachmodelle (SauerkrautLM, Open Source)
• RAG- und Multi-Agenten-Systeme, Datenextraktion
• On-Premise oder Cloud, Fokus digitale Souveränität";"Vertreten durch: Dr. Daryoush Daniel Vaziri, David Habib Golchinfar";"info@vago-solutions.ai";"";"Nur funktionale E-Mail, kein Muster ableitbar."
"Valculus GmbH";"http://valculus.com/home/";"Vielleicht";"• Analyse von Kunden-Kaufverhalten (Luftfahrt/Transport)
• Big-Data-Verfahren und Datenbank-Technologien
• SaaS zur Umsatz- und Vertriebsoptimierung
• Wirtschaftsberatung und Bereitstellung von Datenbanken/IT-Tools";"Vertreten durch: Dr. Markus Franke";"markus.franke@valculus.com";"markus.franke@valculus.com";"Persoenliche GF-Mail woertlich im Impressum belegt (nur ueber http erreichbar)."
"VAVisual Abstract GmbH";"https://visual-abstract.com/";"Vielleicht";"• KI-gestützte Plattform zur Erstellung von Marketingmaterialien
• Automatische Datenextraktion aus PowerPoint, PDF, Word
• Brand-konforme Vorlagen, Lokalisierung, CRM-Integration
• Kombination aus KI und menschlicher Expertise";"Vertreten durch: Saribek Karapetyan, Dr. Benito Campos";"info@visual-abstract.com";"";"Nur funktionale E-Mail, kein Muster ableitbar."
"Vector AI UG (haftungsbeschraenkt)";"https://www.vectorai.de/";"Vielleicht";"• Softwaredienstleister aus Reutlingen mit 25+ Jahren Erfahrung
• Individuelle Softwareentwicklung und UX-Design
• KI- und Machine-Learning-Lösungen aus einer Hand
• Branchen: Handwerk, Handel, IT/Elektronik, Maschinenbau";"";"";"";"Website/Domain nicht erreichbar (HTTP 000, alle Varianten)."
"Veigel GmbH+Co.KG / SYNPLI";"https://www.synpli.de/";"Vielleicht";"• Marke SYNPLI der VEIGEL-Gruppe
• Fokus auf Modernisierung/Digitalisierung der Fahrausbildung
• Innovative Lösungen für Fahrertraining
• Details zu Produkten begrenzt verfügbar";"";"info@synpli.de";"";"Impressum JS-gerendert (SPA), GF nicht extrahierbar; nur info@synpli.de belegt."
"Vernaio";"https://www.vernaio.com/";"Ja";"• Entwickelt KI-Lösungen für die Produktionsindustrie
• Hauptprodukt Process Booster X auf Basis von Causal AI
• Echtzeitüberwachung/-optimierung von Produktionslinien
• Branchen: Papier/Pappe, Vliesstoffe, Gelatine";"Managing Director: Fabian Ruechardt (Redaktion: Robert Meissner)";"hello@vernaio.com";"";"Nur funktionale E-Mail, kein Muster ableitbar."
"VidLab7 GmbH";"https://www.vidlab7.com/";"Ja";"• Moonscale (ehemals VidLab7): KI-Vertriebsplattform mit AI-Avataren
• Automatisierte Sales-Advisors: Pitch, Qualifizierung, Follow-up
• Interaktive Produktpräsentationen in 130+ Sprachen
• CRM-Integration (Salesforce, HubSpot, Pipedrive)";"Managing Director: Fabian Beringer";"info@moonscale.com";"";"vidlab7.com leitet per Rebrand auf moonscale.com (Impressum: Moonscale / VidLab7 GmbH); nur funktionale E-Mail."
"VIER GmbH";"https://www.vier.ai/";"Ja";"• KI-basierte Kommunikationsplattform für Kundendialog
• Produkte: engage, Copilot, AI Studio, Interaction Analytics
• Sprach-/Textanalyse, Omnichannel-Contact-Center
• DSGVO- und EU-AI-Act-konform, Betrieb in Deutschland";"Geschaeftsfuehrer: Rainer Holler";"info@vier.ai; sales@vier.ai; support@vier.ai; businesspartner@vier.ai; customersuccess@vier.ai";"";"Nur funktionale E-Mails, kein persoenliches Muster belegt."
"viind GmbH";"https://www.viind.com/";"Ja";"• KI-Chatbots und Voicebots für Behörden/Verwaltungen
• Webchat, Voicebot, Formulare und Terminbuchung
• Made & Hosted in Germany, DSGVO, ISO 27001
• Über 70 Kommunen, Landkreise, Ministerien";"Matthias Clad, Michael Gabler";"info@viind.com";"";"Impressum: GF Matthias Clad & Michael Gabler. Nur info@viind.com belegt, kein persoenliches Muster."
"VisCheck GmbH";"https://www.vischeck.de/";"Ja";"• Anspruchsvolle Bildverarbeitungslösungen (Qualität, Messen, Erkennen, Robotik)
• OPDRA-Softwarepakete: OCR, KI-Objekterkennung, Deep-Learning-Qualitätskontrolle
• Kundenspezifische Automatisierung, Lasertechnik, Robotik
• Beratung für Automatisierungsprojekte";"Christel Hufschmied";"anfrage@vischeck.de; info@vischeck.de";"";"Impressum: Geschaeftsfuehrerin Christel Hufschmied. Nur generische Mails belegt."
"VisualMakers Gmbh";"https://www.visualmakers.de/";"Vielleicht";"• KI-Beratung und Strategieentwicklung
• Entwicklung von KI-Agenten und individuellen KI-Lösungen
• KI-Discovery-Workshops
• Über 200 abgeschlossene Projekte";"Lilith Brockhaus";"info@visualmakers.de";"";"Impressum: GF Lilith Brockhaus. Nur info@ belegt."
"VITAS GmbH";"https://www.vitas.ai/";"Ja";"• KI-gestützter virtueller Telefonassistent für Unternehmen
• Automatische Anrufannahme und Bearbeitung von Routineanfragen
• Konfigurierbar für jede Branche und Größe
• ISO 27001-zertifiziert";"Thomas Abend";"kontakt@vitas.ai";"";"Impressum: GF Thomas Abend. Nur kontakt@ belegt."
"Voiceagenten e.K.";"https://www.voiceagenten.com/";"Vielleicht";"• Spezialist für KI-Sprachassistenten aus Stuttgart
• Konzeption/Entwicklung von Voicebots und Telefonassistenten
• Amazon-Alexa-Skills und Website-Sprachassistenten
• Beratung, Prototyping und produktive KI-Lösungen";"";"";"";"Nicht erreichbar (Cloudflare-Block / jimdosite, HTTP 403)."
"VoiceLine GmbH";"https://getvoiceline.com/";"Ja";"• KI-gestützte Vertriebslösung für Außendienstteams
• Capture: automatische CRM-Dokumentation per Sprachbefehl
• Analyze: Marktanalysen und Echtzeit-Insights
• Coach: datengestützte Vertriebsschulung, CRM-Integration";"";"hello@getvoiceline.com";"";"Impressum clientseitig gerendert; GF-Name nicht auslesbar. Nur hello@getvoiceline.com belegt."
"VoiceLine GmbH";"https://voiceline.ai/";"Ja";"• KI-Assistentin für den Vertriebsaußendienst (identisch getvoiceline.com)
• Sprachbasierte CRM-Erfassung statt manueller Eingabe
• Markt- und Kundeninteraktions-Analysen
• Plug-and-play mit bestehenden CRM-Systemen";"";"hello@getvoiceline.com";"";"Gleiche Firma wie Row 547 (voiceline.ai leitet auf getvoiceline.com). Impressum clientseitig, GF nicht auslesbar."
"voltAIc Systems";"https://voltaic.systems/";"Ja";"• Anbieter von Sovereign Enterprise AI Solutions
• Fokus auf souveränes Datenmanagement und Unternehmens-KI
• Datenintegration und -aufbereitung für KI-Anwendungen
• On-Premise/souveräne Deployment-Optionen";"";"";"";"Impressum/Seiten rein JS-gerendert (Next.js), serverseitig kein Inhalt; keine GF/Mail auslesbar."
"Wach & Wegener UG";"https://www.yesterday-ai.de/";"Vielleicht";"• Yesterday AI: KI-Beratung und KI-Transformation
• KI-Strategie, Team-Trainings, Workshops
• KI-Prototyping, intelligente Agenten, Automatisierung
• Eigenprodukt Expert Agents (Expertenwissen in KI-Agenten)";"Sidney Wach, Alexander Wegener";"hello@yesterday-ai.de";"";"Impressum: GF Sidney Wach & Alexander Wegener. Nur hello@ belegt."
"Web Computing GmbH";"https://www.web-computing.de/";"Vielleicht";"• Softwareentwicklungsunternehmen aus Münster, 100 % Inhouse-Entwicklung
• Individualentwicklung in KI und Software (codebeat)
• Produkt DialogBits: Chatbots mit generativer KI
• Videoplattform coovi (Recording, Editor, eLearning, CMS)";"Marc Bober, Antonius Ostermann";"info@web-computing.de; dsb@web-computing.de; dennis.roettger@web-computing.de";"marc.bober@web-computing.de (rekonstruiert)";"GF Marc Bober & Antonius Ostermann. Muster vorname.nachname@ belegt durch dennis.roettger@web-computing.de -> GF rekonstruiert."
"weyer data engineering gmbh";"https://weyer-data-engineering.com/";"Vielleicht";"• KI-Software-Plattform AITEZA für Unternehmen (Düren)
• Sichere Verwaltung unternehmenseigener Daten mit LLMs (OpenAI, Anthropic, Google)
• Agentic RAG, automatisierte Workflows, zentrale Datarooms
• Beratung, Installation und Schulung";"Philip Weyer";"info@weyer-data-engineering.com; m.ansorge@weyer-data-engineering.com";"p.weyer@weyer-data-engineering.com (rekonstruiert)";"Imprint: Represented by Philip Weyer. Muster v.nachname@ belegt durch m.ansorge@ -> GF rekonstruiert."
"Widhold Analytics GmbH";"https://www.widhold.de/";"Vielleicht";"• Datenanalyse und Business Intelligence
• Big-Data-Reportings, Data Mining, A/B-Tests
• Smartphone-App-Entwicklung (Gaming/Anwendung)
• Webbasierte SaaS-Lösungen mit Datenschnittstellen";"Guido Deutsch";"";"";"Impressum (Startseite): GF Guido Deutsch. Keine E-Mail-Adresse auffindbar."
"Wingman AIS GmbH";"https://wingman-ais.de/";"Vielleicht";"• Maßgeschneiderte KI-Lösungen für Unternehmen
• Entwicklung sicherer KI-Software und -Modelle, DSGVO-konform
• Strategieberatung, Hosting (eigene Server/Azure), Schulungen
• Branchenlösungen (Abrechnung, CMS, Universitäten, Verlage)";"";"mail@wingman-ais.de";"";"Impressum nennt keinen GF-Namen. Nur mail@wingman-ais.de belegt."
